station_id,timestamp,wind_speed_kmh,temperature_c,radiation_kjm2,wind_direction_bin,precipitation_accum_mm,rel_humidity_pctg,wind_direction_degrees,wind_strength
SOFIS1_A8610A3135399218,2024-01-19T15:00:00.0,7.658,19.062,2028.2,7,0,83.674,270,2
SOFIS2_A8610A3135428119,2024-01-19T15:00:00.0,0.198,20.892,2118.94,7,0,79.916,270,1
SOFIS3_A8610A3135197407,2024-01-19T15:00:00.0,5.05,21.206,2062.3,7,0,77.028,270,2
SOFIS4_A8610A3439296D08,2024-01-19T15:00:00.0,6.042,21.896,2089.68,7,0,74.442,270,2
SOFIS1_A8610A3135399218,2024-01-19T16:00:00.0,6.55,18.292,1329.61,7,0,86.304,270,2
SOFIS2_A8610A3135428119,2024-01-19T16:00:00.0,0.084,19.806,1449.14,7,0,83.524,270,1
SOFIS3_A8610A3135197407,2024-01-19T16:00:00.0,3.958,19.714,1193.32,7,0,81.742,270,1
SOFIS4_A8610A3439296D08,2024-01-19T16:00:00.0,4.65,20.414,1430.05,7,0,79.56,270,1
SOFIS1_A8610A3135399218,2024-01-19T17:00:00.0,3.892,18.128,578.947,7,0,85.75,270,1
SOFIS2_A8610A3135428119,2024-01-19T17:00:00.0,0.008,19.446,770.239,7,0,83.592,270,1
SOFIS3_A8610A3135197407,2024-01-19T17:00:00.0,3.006,18.79,523.875,7,0,84.81,270,1
SOFIS4_A8610A3439296D08,2024-01-19T17:00:00.0,3.752,19.108,545.045,7,0,83.51,270,1
SOFIS1_A8610A3135399218,2024-01-19T18:00:00.0,5.68,17.408,139.912,7,0.28,89.492,270,2
SOFIS2_A8610A3135428119,2024-01-19T18:00:00.0,0.012,18.428,148.675,7,0.28,88.472,270,1
SOFIS3_A8610A3135197407,2024-01-19T18:00:00.0,3.196,17.83,126.851,7,0,89.7,270,1
SOFIS4_A8610A3439296D08,2024-01-19T18:00:00.0,4.238,18.282,119.229,7,0.28,87.866,270,1
SOFIS1_A8610A3135399218,2024-01-19T19:00:00.0,4.628,17.034,0.17136,7,0.28,92.2,270,1
SOFIS2_A8610A3135428119,2024-01-19T19:00:00.0,0.014,17.644,0.17136,7,0.56,93.198,270,1
SOFIS3_A8610A3135197407,2024-01-19T19:00:00.0,3.652,17.326,0,7,0.56,94.12,270,1
SOFIS4_A8610A3439296D08,2024-01-19T19:00:00.0,4.314,17.52,0.17136,7,0.84,92.792,270,1
SOFIS1_A8610A3135399218,2024-01-19T20:00:00.0,4.582,16.782,0,7,0,91.186,270,1
SOFIS2_A8610A3135428119,2024-01-19T20:00:00.0,0.038,17.262,0,7,0,92.762,270,1
SOFIS3_A8610A3135197407,2024-01-19T20:00:00.0,2.462,16.844,0,7,0,93.026,270,1
SOFIS4_A8610A3439296D08,2024-01-19T20:00:00.0,2.92,17.214,0,7,0.28,91.874,270,1
SOFIS1_A8610A3135399218,2024-01-19T21:00:00.0,5.062,16.234,0,7,0.28,88.214,270,2
SOFIS2_A8610A3135428119,2024-01-19T21:00:00.0,0.024,16.542,0,7,0,90.318,270,1
SOFIS3_A8610A3135197407,2024-01-19T21:00:00.0,3.188,16.22,0,7,0,90.33,270,1
SOFIS4_A8610A3439296D08,2024-01-19T21:00:00.0,3.3,16.496,0,7,0,89.48,270,1
SOFIS1_A8610A3135399218,2024-01-19T22:00:00.0,6.044,15.854,0,7,0,85.852,270,2
SOFIS2_A8610A3135428119,2024-01-19T22:00:00.0,0.004,15.83,0,7,0,89.356,270,1
SOFIS3_A8610A3135197407,2024-01-19T22:00:00.0,3.016,15.638,0,7,0,89.228,270,1
SOFIS4_A8610A3439296D08,2024-01-19T22:00:00.0,3.376,15.854,0,7,0,88.312,270,1
SOFIS1_A8610A3135399218,2024-01-19T23:00:00.0,4.154,15.586,0,7,0,87.01,270,1
SOFIS2_A8610A3135428119,2024-01-19T23:00:00.0,0.006,15.542,0,7,0,90.404,270,1
SOFIS3_A8610A3135197407,2024-01-19T23:00:00.0,1.77,15.234,0,7,0,90.542,270,1
SOFIS4_A8610A3439296D08,2024-01-19T23:00:00.0,2.382,15.436,0,7,0,89.756,270,1
SOFIS1_A8610A3135399218,2024-01-20T00:00:00.0,3,15.276,0,7,0,79.762,270,1
SOFIS2_A8610A3135428119,2024-01-20T00:00:00.0,0,14.362,0,7,0,90.064,270,1
SOFIS3_A8610A3135197407,2024-01-20T00:00:00.0,1.6575,14.7925,0,7,0,87.7925,270,1
